Species,Category,Species,Clear category definition,Single species,Overlap with another category? 
"African chameleon, Chamaeleo chamaeleon",Reptile,"African chameleon, Chamaeleo chamaeleon",1.0,1.0,0.0
"African crocodile, Nile crocodile, Crocodylus niloticus",Reptile,"African crocodile, Nile crocodile, Crocodylus niloticus",1.0,1.0,0.0
"African elephant, Loxodonta africana",Mammal,"African elephant, Loxodonta africana",1.0,1.0,1.0
"African grey, African gray, Psittacus erithacus",Bird,"African grey, African gray, Psittacus erithacus",1.0,1.0,0.0
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",Mammal,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",1.0,1.0,0.0
"American alligator, Alligator mississipiensis",Reptile,"American alligator, Alligator mississipiensis",1.0,1.0,0.0
"American black bear, black bear, Ursus americanus, Euarctos americanus",Mammal,"American black bear, black bear, Ursus americanus, Euarctos americanus",1.0,1.0,0.0
"American chameleon, anole, Anolis carolinensis",Reptile,"American chameleon, anole, Anolis carolinensis",1.0,1.0,0.0
"American coot, marsh hen, mud hen, water hen, Fulica americana",Bird,"American coot, marsh hen, mud hen, water hen, Fulica americana",1.0,1.0,0.0
"American egret, great white heron, Egretta albus",Bird,"American egret, great white heron, Egretta albus",0.0,1.0,0.0
"American lobster, Northern lobster, Maine lobster, Homarus americanus",Marine-Invertebrate,"American lobster, Northern lobster, Maine lobster, Homarus americanus",1.0,1.0,1.0
"Arabian camel, dromedary, Camelus dromedarius",Mammal,"Arabian camel, dromedary, Camelus dromedarius",1.0,1.0,0.0
"Arctic fox, white fox, Alopex lagopus",Mammal,"Arctic fox, white fox, Alopex lagopus",1.0,1.0,0.0
"Dungeness crab, Cancer magister",Marine-Invertebrate,"Dungeness crab, Cancer magister",1.0,1.0,0.0
"European fire salamander, Salamandra salamandra",Amphibian,"European fire salamander, Salamandra salamandra",1.0,1.0,0.0
"European gallinule, Porphyrio porphyrio",Bird,"European gallinule, Porphyrio porphyrio",1.0,1.0,0.0
"Gila monster, Heloderma suspectum",Reptile,"Gila monster, Heloderma suspectum",1.0,1.0,0.0
"Indian cobra, Naja naja",Reptile,"Indian cobra, Naja naja",1.0,1.0,0.0
"Indian elephant, Elephas maximus",Mammal,"Indian elephant, Elephas maximus",1.0,1.0,0.0
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",Reptile,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",1.0,1.0,0.0
"Madagascar cat, ring-tailed lemur, Lemur catta",Mammal,"Madagascar cat, ring-tailed lemur, Lemur catta",1.0,1.0,0.0
admiral,Land-Invertebrate,admiral,0.0,0.0,0.0
agama,Reptile,agama,1.0,0.0,0.0
"albatross, mollymawk",Bird,"albatross, mollymawk",0.0,0.0,0.0
alligator lizard,Reptile,alligator lizard,1.0,0.0,0.0
anemone fish,Fish,anemone fish,1.0,1.0,0.0
"ant, emmet, pismire",Land-Invertebrate,"ant, emmet, pismire",1.0,0.0,0.0
armadillo,Mammal,armadillo,1.0,0.0,0.0
"axolotl, mud puppy, Ambystoma mexicanum",Amphibian,"axolotl, mud puppy, Ambystoma mexicanum",1.0,1.0,0.0
baboon,Mammal,baboon,1.0,0.0,0.0
badger,Mammal,badger,1.0,0.0,0.0
"bald eagle, American eagle, Haliaeetus leucocephalus",Bird,"bald eagle, American eagle, Haliaeetus leucocephalus",1.0,1.0,0.0
banded gecko,Reptile,banded gecko,0.0,0.0,0.0
"barn spider, Araneus cavaticus",Land-Invertebrate,"barn spider, Araneus cavaticus",1.0,1.0,0.0
"barracouta, snoek",Fish,"barracouta, snoek",1.0,1.0,0.0
beaver,Mammal,beaver,1.0,1.0,0.0
bee,Land-Invertebrate,bee,1.0,0.0,0.0
bee eater,Bird,bee eater,1.0,0.0,0.0
"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",Mammal,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",1.0,1.0,0.0
bison,Mammal,bison,1.0,0.0,0.0
bittern,Bird,bittern,1.0,0.0,0.0
"black and gold garden spider, Argiope aurantia",Land-Invertebrate,"black and gold garden spider, Argiope aurantia",1.0,1.0,0.0
black grouse,Bird,black grouse,1.0,1.0,0.0
"black stork, Ciconia nigra",Bird,"black stork, Ciconia nigra",1.0,1.0,0.0
"black swan, Cygnus atratus",Bird,"black swan, Cygnus atratus",1.0,1.0,0.0
"black widow, Latrodectus mactans",Land-Invertebrate,"black widow, Latrodectus mactans",1.0,1.0,0.0
"black-footed ferret, ferret, Mustela nigripes",Mammal,"black-footed ferret, ferret, Mustela nigripes",1.0,1.0,0.0
"boa constrictor, Constrictor constrictor",Reptile,"boa constrictor, Constrictor constrictor",1.0,1.0,0.0
"box turtle, box tortoise",Reptile,"box turtle, box tortoise",1.0,0.0,0.0
brain coral,Marine-Invertebrate,brain coral,1.0,0.0,0.0
"brambling, Fringilla montifringilla",Bird,"brambling, Fringilla montifringilla",1.0,1.0,0.0
"brown bear, bruin, Ursus arctos",Mammal,"brown bear, bruin, Ursus arctos",1.0,1.0,0.0
bulbul,Bird,bulbul,1.0,0.0,0.0
"bullfrog, Rana catesbeiana",Amphibian,"bullfrog, Rana catesbeiana",1.0,1.0,0.0
bustard,Bird,bustard,1.0,0.0,0.0
cabbage butterfly,Land-Invertebrate,cabbage butterfly,0.0,0.0,0.0
"capuchin, ringtail, Cebus capucinus",Mammal,"capuchin, ringtail, Cebus capucinus",1.0,1.0,0.0
centipede,Land-Invertebrate,centipede,1.0,0.0,0.0
"chambered nautilus, pearly nautilus, nautilus",Marine-Invertebrate,"chambered nautilus, pearly nautilus, nautilus",1.0,1.0,0.0
"cheetah, chetah, Acinonyx jubatus",Mammal,"cheetah, chetah, Acinonyx jubatus",1.0,1.0,0.0
chickadee,Bird,chickadee,0.0,0.0,0.0
"chimpanzee, chimp, Pan troglodytes",Mammal,"chimpanzee, chimp, Pan troglodytes",1.0,1.0,0.0
"chiton, coat-of-mail shell, sea cradle, polyplacophore",Marine-Invertebrate,"chiton, coat-of-mail shell, sea cradle, polyplacophore",1.0,0.0,0.0
"cicada, cicala",Land-Invertebrate,"cicada, cicala",1.0,0.0,0.0
"cockroach, roach",Land-Invertebrate,"cockroach, roach",1.0,0.0,0.0
"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",Fish,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.0,1.0,0.0
"colobus, colobus monkey",Mammal,"colobus, colobus monkey",1.0,0.0,0.0
"common iguana, iguana, Iguana iguana",Reptile,"common iguana, iguana, Iguana iguana",1.0,1.0,0.0
"common newt, Triturus vulgaris",Amphibian,"common newt, Triturus vulgaris",1.0,1.0,0.0
conch,Marine-Invertebrate,conch,0.0,0.0,1.0
coucal,Bird,coucal,1.0,0.0,0.0
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",Mammal,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.0,1.0,1.0
"coyote, prairie wolf, brush wolf, Canis latrans",Mammal,"coyote, prairie wolf, brush wolf, Canis latrans",1.0,1.0,0.0
crane,Bird,crane,1.0,0.0,0.0
"crayfish, crawfish, crawdad, crawdaddy",Marine-Invertebrate,"crayfish, crawfish, crawdad, crawdaddy",1.0,0.0,1.0
cricket,Land-Invertebrate,cricket,0.0,0.0,0.0
damselfly,Land-Invertebrate,damselfly,1.0,0.0,0.0
"dhole, Cuon alpinus",Mammal,"dhole, Cuon alpinus",1.0,1.0,0.0
"diamondback, diamondback rattlesnake, Crotalus adamanteus",Reptile,"diamondback, diamondback rattlesnake, Crotalus adamanteus",1.0,1.0,0.0
"dingo, warrigal, warragal, Canis dingo",Mammal,"dingo, warrigal, warragal, Canis dingo",1.0,1.0,0.0
dowitcher,Bird,dowitcher,1.0,0.0,0.0
"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito",Land-Invertebrate,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito",1.0,0.0,0.0
drake,Bird,drake,0.0,0.0,1.0
"dugong, Dugong dugon",Mammal,"dugong, Dugong dugon",1.0,1.0,0.0
dung beetle,Land-Invertebrate,dung beetle,1.0,0.0,0.0
"echidna, spiny anteater, anteater",Mammal,"echidna, spiny anteater, anteater",1.0,0.0,0.0
eel,Fish,eel,1.0,0.0,0.0
eft,Amphibian,eft,0.0,0.0,0.0
"electric ray, crampfish, numbfish, torpedo",Fish,"electric ray, crampfish, numbfish, torpedo",0.0,0.0,1.0
fiddler crab,Marine-Invertebrate,fiddler crab,1.0,0.0,0.0
flamingo,Bird,flamingo,1.0,0.0,0.0
