Image Number,Category,Label,Correct ID,Blurry image,Humans present,Other animals present,Not real animal,Image collage
00000001,Reptile,sea snake,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000006,Reptile,"garter snake, grass snake",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000007,Mammal,"porcupine, hedgehog",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000011,Marine-Invertebrate,brain coral,1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000012,Mammal,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000013,Mammal,"guenon, guenon monkey",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000016,Mammal,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000017,Marine-Invertebrate,"sea anemone, anemone",1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000018,Bird,vulture,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000021,Mammal,"porcupine, hedgehog",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000025,Bird,vulture,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000027,Mammal,"white wolf, Arctic wolf, Canis lupus tundrarum",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000029,Reptile,"green snake, grass snake",-0.3333333333333333,-1.0,-1.0,-1.0,-1.0,-1.0
00000031,Land-Invertebrate,cabbage butterfly,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000033,Mammal,sea lion,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000037,Amphibian,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",-0.6666666666666666,-1.0,-1.0,-1.0,-1.0,-1.0
00000040,Land-Invertebrate,"garden spider, Aranea diademata",0.6666666666666666,-1.0,-1.0,-1.0,-1.0,1.0
00000043,Bird,spoonbill,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000050,Fish,sturgeon,1.0,-1.0,-1.0,1.0,-1.0,-1.0
00000051,Bird,bee eater,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000052,Amphibian,"axolotl, mud puppy, Ambystoma mexicanum",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000055,Mammal,"polecat, fitch, foulmart, foumart, Mustela putorius",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000063,Marine-Invertebrate,jellyfish,1.0,0.0,-1.0,-1.0,-1.0,-1.0
00000064,Reptile,"green lizard, Lacerta viridis",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000066,Fish,eel,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000067,Mammal,tusker,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000072,Mammal,"dugong, Dugong dugon",1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000073,Bird,kite,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
00000075,Bird,black grouse,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
